"VENDOR_COD";"SCORE";"YEAR";"SESSION_TAG"
"10084986";67;2022;1
"10057787";64;2022;1
"80007734";81;2022;1
"10026960";54;2022;1
"10043410";50;2022;1
"10059687";55;2022;1
"10083234";74;2022;1
"10053033";78;2022;1
"10020088";53;2022;1
"10079472";70;2022;1
"10002927";55;2022;1
"10071211";69;2022;1
"10082513";68;2022;1
"10074727";34;2022;1
"10088657";45;2022;1
"10074115";52;2022;1
"10052890";52;2022;1
"10087241";34;2022;1
"10090740";77;2022;1
"10087317";66;2022;1
"10088092";73;2022;1
"10090069";70;2022;1
"10090375";72;2022;1
"80008340";59;2022;1
"10040331";37;2022;1
"10086087";61;2022;1
"10019825";62;2022;1
"10085552";77;2022;1
"10047897";54;2022;1
"10049718";66;2022;1
"10076231";78;2022;1
"10060018";49;2022;1
"10086732";41;2022;1
"10003671";50;2022;1
"10057568";70;2022;1
"10088661";69;2022;1
"10032016";62;2022;1
"10087501";62;2022;1
"10088575";55;2022;1
"10027648";44;2022;1
"10085329";62;2022;1
"80003504";53;2022;1
"10011060";54;2022;1
"10074531";49;2022;1
"10086039";61;2022;1
"10065618";72;2022;1
"10009166";54;2022;1
"10090073";68;2022;1
"80002633";77;2022;1
"10002116";68;2022;1
"10056447";60;2022;1
"10077411";54;2022;1
"10085715";54;2022;1
"10090008";63;2022;1
"10005471";45;2022;1
"40003548";53;2022;1
"10033097";58;2022;1
"10085106";48;2022;1
"10000247";74;2022;1
"10084061";61;2022;1
"10085652";54;2022;1
"10075930";38;2022;1
"10088660";58;2022;1
"10091577";58;2022;1
"10087368";49;2022;1
"10090109";44;2022;1
"10086254";59;2022;1
"10087733";54;2022;1
"10051273";68;2022;1
"10053394";78;2022;1
"10024925";32;2022;1
"10071201";53;2022;1
"10077678";38;2022;1
"10018074";63;2022;1
"10050638";68;2022;1
"10071884";50;2022;1
"10076852";45;2022;1
"10085708";63;2022;1
"80007433";40;2022;1
"10044419";50;2022;1
"10050085";80;2022;1
"10083045";61;2022;1
"10024624";46;2022;1
"10073029";48;2022;1
"10077528";60;2022;1
"10087258";34;2022;1
"10026988";52;2022;1
"10080313";45;2022;1
"10087314";66;2022;1
"10076550";68;2022;1
"10012935";76;2022;1
"10058690";53;2022;1
"10083903";45;2022;1
"10087118";71;2022;1
"10088465";38;2022;1
"40003541";44;2022;1
"10088670";74;2022;1
"10089623";37;2022;1
"10039175";56;2022;1
"10041903";31;2022;1
"10071984";63;2022;1
"80007665";58;2022;1
"10049761";45;2022;1
"10088021";44;2022;1
"10000002";68;2022;1
"10026351";65;2022;1
