"CURRENCY_COD";"PERIOD_COD";"EXCHANGE_RATE";"SESSION_TAG"
"HUF";202201;396,0321;1
"HUF";202202;390,4782;1
"HUF";202203;382,7833;1
"HUF";202204;385,3939;1
"HUF";202205;382,7633;1
"HUF";202206;380,7194;1
"HUF";202207;381,0498;1
"HUF";202208;381,0438;1
"HUF";202209;381,6321;1
"HUF";202210;382,9112;1
"HUF";202211;381,5551;1
"HUF";202212;382,0192;1
"GBP";202201;0,8466;1
"GBP";202202;0,8538;1
"GBP";202203;0,8538;1
"GBP";202204;0,8538;1
"GBP";202205;0,8538;1
"GBP";202206;0,8777;1
"GBP";202207;0,8777;1
"GBP";202208;0,8538;1
"GBP";202209;0,8777;1
"GBP";202210;0,8538;1
"GBP";202211;0,8777;1
"GBP";202212;0,8538;1
"BRL";202201;5,6147;1
"BRL";202202;5,5917;1
"BRL";202203;5,5729;1
"BRL";202204;5,417;1
"BRL";202205;5,4863;1
"BRL";202206;5,4863;1
"BRL";202207;5,6147;1
"BRL";202208;5,4431;1
"BRL";202209;5,4257;1
"BRL";202210;5,428;1
"BRL";202211;5,4074;1
"BRL";202212;5,4046;1
"CNY";202201;7,3573;1
"CNY";202202;7,3269;1
"CNY";202203;7,3498;1
"CNY";202204;7,4818;1
"CNY";202205;7,4337;1
"CNY";202206;7,485;1
"CNY";202207;7,5453;1
"CNY";202208;7,5596;1
"CNY";202209;7,6275;1
"CNY";202210;7,6363;1
"CNY";202211;7,6415;1
"CNY";202212;7,4398;1
"EUR";202201;1;1
"EUR";202202;1;1
"EUR";202203;1;1
"EUR";202204;1;1
"EUR";202205;1;1
"EUR";202206;1;1
"EUR";202207;1;1
"EUR";202208;1;1
"EUR";202209;1;1
"EUR";202210;1;1
"EUR";202211;1;1
"EUR";202212;1;1
"AUD";202201;1,5911;1
"AUD";202202;1,5559;1
"AUD";202203;1,5698;1
"AUD";202204;1,586;1
"AUD";202205;1,5931;1
"AUD";202206;1,5954;1
"AUD";202207;1,6015;1
"AUD";202208;1,6015;1
"AUD";202209;1,6243;1
"AUD";202210;1,6226;1
"AUD";202211;1,6242;1
"AUD";202212;1,5825;1
"MXN";202201;19,988;1
"MXN";202202;20,2958;1
"MXN";202203;20,0493;1
"MXN";202204;19,9818;1
"MXN";202205;19,5898;1
"MXN";202206;20,0953;1
"MXN";202207;19,5998;1
"MXN";202208;19,3549;1
"MXN";202209;19,2929;1
"MXN";202210;19,2929;1
"MXN";202211;19,2929;1
"MXN";202212;19,1837;1
"BGN";202201;1,955;1
"BGN";202202;1,955;1
"BGN";202203;1,9557;1
"BGN";202204;1,9598;1
"BGN";202205;1,9588;1
"BGN";202206;1,9588;1
"BGN";202207;1,9588;1
"BGN";202208;1,9553;1
"BGN";202209;1,9588;1
"BGN";202210;1,9588;1
"BGN";202211;1,9588;1
"BGN";202212;1,9588;1
"HUF";202201;396,0321;1
"HUF";202202;390,4782;1
"HUF";202203;382,7833;1
"HUF";202204;385,3939;1
"HUF";202205;382,7633;1
"HUF";202206;380,7194;1
"HUF";202207;381,0498;1
"HUF";202208;381,0438;1
"HUF";202209;381,6321;1
"HUF";202210;382,9112;1
"HUF";202211;381,5551;1
"HUF";202212;382,0192;1
"HUF";202301;396,0323;2
"HUF";202302;390,4732;2
"HUF";202303;382,7333;2
"HUF";202304;385,3239;2
"HUF";202305;382,7333;2
"HUF";202306;380,7114;2
"HUF";202307;381,0438;2
"HUF";202308;381,0438;2
"HUF";202309;381,6421;2
"HUF";202310;382,0112;2
"HUF";202311;381,7551;2
"HUF";202312;382,0112;2
"GBP";202201;0,8466;1
"GBP";202202;0,8538;1
"GBP";202203;0,8538;1
"GBP";202204;0,8538;1
"GBP";202205;0,8538;1
"GBP";202206;0,8777;1
"GBP";202207;0,8777;1
"GBP";202208;0,8538;1
"GBP";202209;0,8777;1
"GBP";202210;0,8538;1
"GBP";202211;0,8777;1
"GBP";202212;0,8538;1
"GBP";202301;0,8766;2
"GBP";202302;0,8838;2
"GBP";202303;0,8832;2
"GBP";202304;0,8827;2
"GBP";202305;0,8707;2
"GBP";202306;0,8707;2
"GBP";202307;0,8707;2
"GBP";202308;0,8722;2
"GBP";202309;0,871;2
"GBP";202310;0,8707;2
"GBP";202311;0,8707;2
"GBP";202312;0,8699;2
"BRL";202201;5,6147;1
"BRL";202202;5,5917;1
"BRL";202203;5,5729;1
"BRL";202204;5,417;1
"BRL";202205;5,4863;1
"BRL";202206;5,4863;1
"BRL";202207;5,6147;1
"BRL";202208;5,4431;1
"BRL";202209;5,4257;1
"BRL";202210;5,428;1
"BRL";202211;5,4074;1
"BRL";202212;5,4046;1
"BRL";202301;5,6047;2
"BRL";202302;5,5717;2
"BRL";202303;5,5739;2
"BRL";202304;5,407;2
"BRL";202305;5,4833;2
"BRL";202306;5,4833;2
"BRL";202307;5,6047;2
"BRL";202308;5,4441;2
"BRL";202309;5,4255;2
"BRL";202310;5,418;2
"BRL";202311;5,407;2
"BRL";202312;5,4016;2
"CNY";202201;7,3573;1
"CNY";202202;7,3269;1
"CNY";202203;7,3498;1
"CNY";202204;7,4818;1
"CNY";202205;7,4337;1
"CNY";202206;7,485;1
"CNY";202207;7,5453;1
"CNY";202208;7,5596;1
"CNY";202209;7,6275;1
"CNY";202210;7,6363;1
"CNY";202211;7,6415;1
"CNY";202212;7,4398;1
"CNY";202301;7,3173;2
"CNY";202302;7,3209;2
"CNY";202303;7,3408;2
"CNY";202304;7,4898;2
"CNY";202305;7,4347;2
"CNY";202306;7,4898;2
"CNY";202307;7,5553;2
"CNY";202308;7,5996;2
"CNY";202309;7,6215;2
"CNY";202310;7,6313;2
"CNY";202311;7,6215;2
"CNY";202312;7,4898;2
"EUR";202201;1;1
"EUR";202202;1;1
"EUR";202203;1;1
"EUR";202204;1;1
"EUR";202205;1;1
"EUR";202206;1;1
"EUR";202207;1;1
"EUR";202208;1;1
"EUR";202209;1;1
"EUR";202210;1;1
"EUR";202211;1;1
"EUR";202212;1;1
"EUR";202301;1;2
"EUR";202302;1;2
"EUR";202303;1;2
"EUR";202304;1;2
"EUR";202305;1;2
"EUR";202306;1;2
"EUR";202307;1;2
"EUR";202308;1;2
"EUR";202309;1;2
"EUR";202310;1;2
"EUR";202311;1;2
"EUR";202312;1;2
"AUD";202201;1,5911;1
"AUD";202202;1,5559;1
"AUD";202203;1,5698;1
"AUD";202204;1,586;1
"AUD";202205;1,5931;1
"AUD";202206;1,5954;1
"AUD";202207;1,6015;1
"AUD";202208;1,6015;1
"AUD";202209;1,6243;1
"AUD";202210;1,6226;1
"AUD";202211;1,6242;1
"AUD";202212;1,5825;1
"AUD";202301;1,5961;2
"AUD";202302;1,5519;2
"AUD";202303;1,569;2
"AUD";202304;1,5865;2
"AUD";202305;1,5961;2
"AUD";202306;1,5994;2
"AUD";202307;1,6055;2
"AUD";202308;1,6282;2
"AUD";202309;1,6203;2
"AUD";202310;1,6246;2
"AUD";202311;1,6282;2
"AUD";202312;1,5865;2
"MXN";202201;19,988;1
"MXN";202202;20,2958;1
"MXN";202203;20,0493;1
"MXN";202204;19,9818;1
"MXN";202205;19,5898;1
"MXN";202206;20,0953;1
"MXN";202207;19,5998;1
"MXN";202208;19,3549;1
"MXN";202209;19,2929;1
"MXN";202210;19,2929;1
"MXN";202211;19,2929;1
"MXN";202212;19,1837;1
"MXN";202301;19,9888;2
"MXN";202302;20,2058;2
"MXN";202303;20,0453;2
"MXN";202304;19,9888;2
"MXN";202305;19,5198;2
"MXN";202306;20,0453;2
"MXN";202307;19,5198;2
"MXN";202308;19,3949;2
"MXN";202309;19,2927;2
"MXN";202310;19,2927;2
"MXN";202311;19,2927;2
"MXN";202312;19,1897;2
"BGN";202201;1,955;1
"BGN";202202;1,955;1
"BGN";202203;1,9557;1
"BGN";202204;1,9598;1
"BGN";202205;1,9588;1
"BGN";202206;1,9588;1
"BGN";202207;1,9588;1
"BGN";202208;1,9553;1
"BGN";202209;1,9588;1
"BGN";202210;1,9588;1
"BGN";202211;1,9588;1
"BGN";202212;1,9588;1
"BGN";202301;1,9558;2
